income,loan,duration,decision
6091,1280,360,0
3000,660,360,1
4941,1200,360,1
6000,1410,360,1
9613,2670,360,1
3849,950,360,1
5540,1580,360,0
5532,1680,360,1
23809,3490,360,0
3900,700,360,1
4340,1090,360,1
11179,2000,360,1
4693,1140,360,0
2385,170,120,1
4950,1250,360,1
3596,1000,240,1
3510,760,360,0
4887,1330,360,0
7660,1040,360,0
11580,3150,360,1
4511,1160,360,0
5282,1120,360,0
6642,1510,360,0
9560,1910,360,1
5052,1220,360,1
5266,1100,360,1
1442,350,360,0
5833,1200,360,1
7535,2010,360,0
3167,740,360,0
4692,1060,360,0
5167,1140,360,1
15500,3200,360,0
5126,1440,360,1
11376,1840,360,1
5416,1100,360,1
3600,800,360,0
3013,470,360,1
2400,750,360,1
6277,1340,360,1
5649,440,360,1
5821,1440,360,1
6085,1200,360,0
6275,1440,360,1
3572,1000,360,1
3086,1200,360,1
4230,1120,360,0
4616,1340,360,0
11500,2860,360,0
3875,970,360,1
3723,960,360,1
5566,1350,360,0
10330,1800,360,1
6216,1440,360,1
6296,1200,360,1
3029,990,360,1
6058,1650,180,0
4166,1160,360,0
10321,2580,360,0
5454,1260,180,0
10750,3120,360,1
7100,1250,60,1
4300,1360,360,0
6274,1720,360,1
3750,970,360,1
3500,810,300,1
7040,1870,360,1
3750,1130,480,0
8500,1760,360,0
4022,1100,360,0
7167,1800,300,0
5499,1300,360,1
3846,1110,360,1
3259,1670,360,0
8250,2650,360,0
3988,500,240,1
4897,1360,360,1
5333,990,360,1
4618,1040,360,1
8566,2100,360,1
9862,1750,360,1
5858,1310,360,1
11904,1880,180,1
5093,810,360,1
4133,1220,360,1
3620,250,120,1
4786,1370,360,1
2974,500,360,1
4188,1150,180,1
5300,1310,360,1
7551,1330,180,1
8649,1510,360,1
4570,1600,360,1
4082,1000,360,1
12543,2250,360,1
7333,1200,360,0
7400,2160,360,0
2825,940,480,1
5316,1360,360,1
5262,1390,360,1
5050,1180,360,1
14583,1850,180,1
5450,1540,360,1
3612,850,360,1
7710,1750,360,0
10408,2590,360,1
8334,1800,360,1
4166,440,360,1
11117,1370,360,1
2957,810,360,1
6314,1940,360,1
3692,930,360,1
23803,3700,360,1
14363,1600,180,0
8649,1820,360,0
20166,6500,480,1
3943,740,360,1
2718,700,360,1
3459,250,120,1
4895,1020,360,1
11750,2900,360,0
4583,840,360,0
6816,880,360,1
14999,2420,360,0
5630,1290,360,0
7125,1850,360,0
5417,1680,360,1
6950,1750,180,1
4732,1220,360,1
11757,1870,180,1
6816,1000,360,1
14866,700,360,1
2963,300,360,1
11666,2250,360,0
5690,1250,360,1
6277,1180,360,0
6327,1520,360,1
9166,2440,360,0
2281,1130,360,0
3254,500,360,1
39999,6000,180,1
6000,1600,360,1
9538,1870,360,1
5063,1200,360,1
10208,2550,360,1
2904,980,360,1
7933,2750,360,0
4369,1210,360,0
5614,1580,360,1
9323,750,180,1
4583,1120,360,0
5772,1290,360,1
2237,630,480,0
8000,2000,360,1
3589,950,360,1
51763,7000,300,1
3522,810,180,0
11333,1870,360,1
5080,870,360,0
5461,1160,360,1
3664,1010,360,1
16816,4950,360,0
3750,1160,360,1
3784,1020,480,0
13650,1800,360,0
6979,670,360,0
4600,730,180,1
33846,2600,360,0
3625,1080,360,1
43897,1200,360,1
2178,660,300,0
4521,580,360,1
5970,1680,360,1
9328,1880,180,1
4885,480,360,1
12000,1640,360,0
6033,1600,360,0
3858,760,360,1
4191,1200,360,1
5708,1700,360,0
12083,1870,360,1
6232,1130,360,1
11000,830,360,0
5100,900,360,1
4923,1660,360,1
4583,1350,360,1
3917,1240,360,1
4408,1200,360,1
3244,800,360,1
6506,550,360,1
2479,590,360,1
3418,1270,360,0
10000,2140,360,0
4680,1280,360,0
7787,2400,360,1
5703,1300,360,1
6194,1370,360,1
4833,1000,360,1
1950,1350,360,0
5502,1310,360,1
5000,720,360,0
6666,1270,360,1
2221,600,360,0
5726,1160,360,1
5762,1440,360,1
6250,1280,360,1
3250,1700,360,0
4735,1380,360,0
7945,2100,360,1
4758,1580,480,1
6400,2000,360,1
4545,1040,360,1
3716,420,180,1
8333,2800,360,1
4934,1400,360,1
6760,1700,360,1
5746,2550,360,0
3463,1220,360,1
3812,1120,360,1
3315,960,360,1
10819,1200,360,1
4493,1400,180,0
8666,1550,60,1
7550,1080,360,1
7823,1230,360,1
10383,1200,180,0
9703,1120,360,1
6608,1370,180,1
4725,1230,480,1
3677,900,360,1
5558,2010,360,0
3427,1380,360,0
4750,1040,360,1
9762,2790,180,1
16250,1920,360,0
3083,2550,360,1
6045,1150,360,0
5250,940,360,0
16783,3040,360,0
4931,1280,360,0
10333,3300,360,1
4269,1340,360,1
3481,1550,36,0
7200,1200,360,1
5166,1280,360,1
7542,1510,360,1
6095,1500,360,1
6144,1600,360,1
3418,1350,360,0
4436,900,360,1
3237,300,360,1
11146,1360,360,1
4690,1260,360,1
4843,1500,360,1
3900,900,360,1
4592,1150,360,1
7267,2070,360,1
4403,800,360,1
14583,4360,360,1
4100,1240,360,1
6479,1580,360,0
4727,1120,360,1
3286.799988,780,180,1
3477,540,360,1
6211,890,360,1
4317,990,300,0
5704,1200,360,1
4124,1150,360,1
9508,1870,360,1
5491,1390,360,1
4400,1270,360,0
4713,1340,360,1
5417,1430,480,0
5717,1720,360,1
5666,1100,360,1
6875,2000,360,1
4666,1350,360,1
7541,1510,480,0
4939,1130,360,0
4734,930,360,0
4625,1050,360,1
5000,1320,360,1
3428,960,360,1
6500,1400,360,1
5428,1350,360,1
4263,1040,360,0
20233,4800,360,0
7667,1850,360,1
2917,840,360,1
5332,1110,360,1
2507,560,360,1
5746,1440,84,1
4316,1590,360,0
5039,1110,180,1
3717,1200,360,1
4192,880,360,1
3541,1120,360,1
10000,1550,360,0
4567,1150,360,1
4531,1240,360,1
6151,1320,360,1
15000,3000,360,1
13649,3760,360,0
4917,1300,360,1
7978,1840,360,1
6784,1100,360,0
2500,670,360,1
6177,1170,360,1
2935,980,360,1
2833,710,360,1
63337,4900,180,1
11666,1820,180,1
5938,1600,360,1
7100,1760,360,1
4160,710,360,1
4234,1730,360,0
2378,460,360,0
5783,1580,360,1
3173,740,360,1
4913,1250,360,1
4957,1600,360,1
6753,1520,360,0
5251,1260,360,1
10916,2590,360,1
8875,1870,360,1
9083,2280,360,1
12917,3080,360,0
4749,950,360,1
5500,1050,360,0
2928,1300,360,1
3813,1160,180,1
11500,1650,360,1
3875,670,360,0
4666,1000,480,0
8334,2000,360,1
4723,810,360,0
8667,2360,360,1
7083,1300,360,1
6046,950,300,1
6822,1410,360,1
6216,1330,360,0
2500,960,480,0
6325,1750,360,1
24996,5700,360,0
15759,550,360,1
5185,1550,360,1
17196,3800,300,1
5049,1110,180,0
4223,1100,360,1
5740,1200,180,1
13746,1300,360,1
4310,1300,360,1
3069,710,480,0
5391,1300,360,1
5833,1280,360,1
10173,2960,360,1
6000,1560,360,1
7167,1280,360,1
4566,1000,360,0
3667,1130,180,1
3946,1320,360,1
4750,1360,360,1
5488,1250,360,1
9167,1850,360,1
9504,2750,360,1
4698,1200,360,1
3618,1130,180,1
4500,1130,360,1
3760,1350,360,1
3180,710,360,0
4492,950,360,1
5568,1090,360,1
3300,1030,360,0
2889,450,180,0
2755,650,300,0
22500,1030,360,1
1963,530,360,1
7441,1940,360,0
4547,1150,360,1
4567,1150,360,1
2213,660,360,1
8300,1520,300,0
81000,3600,360,0
3867,620,360,0
6256,1600,360,1
6096,2180,360,0
4286,1100,360,1
5386,1780,360,0
2995,600,360,1
2600,1600,360,0
21600,2390,360,0
3798,1120,360,1
4663,1380,360,1
5829,1380,360,1
3539,1000,360,1
14880,960,360,1
6966,1210,360,1
4606,810,360,0
5935,1330,360,1
2936.120001,870,360,1
2717,600,180,1
8624,1500,360,1
6500,1050,360,0
12876,4050,360,1
4765,1430,360,1
3750,1000,360,1
3777,500,360,1
10416,1870,360,0
7142,1380,360,1
8724,1870,360,1
9734,1800,360,1
6700,1480,360,1
37719,1520,360,1
15666,1750,300,1
4676,1300,360,1
4652,1100,360,1
4915,550,360,0
5050,1500,360,0
4311,1900,360,0
3564,1250,360,0
3414,600,300,1
5681,1490,360,0
4949,900,180,1
7085,840,360,1
3859,960,360,1
4301,1180,360,1
6277,1730,360,0
4354,1360,360,1
8334,1600,360,0
6166,1600,360,1
7740,1280,180,1
5203,1530,360,1
5191,1320,360,1
4166,980,360,0
6000,1400,360,1
4611,700,180,0
16692,1100,360,1
3127,980,360,1
6784,1100,360,0
5529,1620,360,1
4153,1130,180,0
4691,1000,360,1
2500,930,360,1
10180,1620,360,1
17539,1500,360,1
8450,2300,300,1
4745,1320,360,0
18917,860,360,1
4350,1540,360,1
3095,1130,360,1
5233,1280,360,1
10833,2340,360,1
8333,2460,360,1
4394,1310,360,1
3547,800,360,0
18333,5000,360,0
6666,1600,360,1
2435,750,360,0
5484,960,360,1
6464,1860,360,1
3691,1100,360,1
17263,2250,360,1
5754,1190,360,0
4239,1050,84,1
4300,1070,360,1
7482,1110,12,1
2895,950,360,1
10699,2090,360,0
4328,1130,480,1
3159,1000,360,1
10489,2080,360,1
9352,1380,360,0
5297,1240,300,1
7926,2430,360,1
27500,4800,360,1
3583,960,360,0
5492,1880,360,1
13262,400,360,1
4885,1000,360,0
8069,2500,360,1
5318,1480,360,1
8796,700,180,0
9481,3110,360,0
6894,1500,360,1
3663,1130,480,1
4874,1230,360,0
6598,1850,360,0
3400,950,360,0
3934,450,360,1
2500,550,360,1
7101,1000,360,1
15114,4800,360,1
17500,4000,360,1
3775,1100,360,1
6715,1610,360,1
3981,940,360,1
6783,1300,360,1
6525,2160,360,1
4281,1000,360,1
3588,1100,360,0
11250,1960,360,0
18165,1250,360,1
4592,1260,360,1
10039,3240,360,1
3617,1070,360,1
3453,660,360,0
6417,1570,180,1
7453,1400,180,1
2138,990,360,0
3652,950,360,1
4763,1280,360,1
3680,1020,360,1
4718,1550,360,1
3358,800,36,0
4309,1450,360,1
5000,1030,360,0
4801,1100,360,1
6583,1580,360,1
4787,1810,360,0
7859,1320,180,0
6500,260,360,1
4292,840,360,1
10139,2600,360,1
6556,1620,360,1
6486,1820,360,1
3917,1080,360,1
19484,6000,360,1
7977,2110,360,1
5800,1320,360,1
8799,2580,360,0
4467,1200,360,1
3333,700,360,1
5900,1230,360,0
2378,90,360,0
5230,1040,360,0
5167,1860,360,1
6567,1650,360,0
16666,2750,360,1
7750,1870,480,0
6406,1500,360,0
3620,1080,84,1
5297,1360,360,0
5968,1100,360,1
4014,1070,360,1
6099,1610,360,1
6540,2050,360,1
35673,900,360,0
3166,360,360,1
1880,610,360,0
4704,1460,360,0
7283,1720,84,0
3819,1040,360,1
2165,700,360,1
4750,940,360,1
2726,1060,360,0
6416,560,180,1
6000,2050,240,0
9357,2920,360,1
7159,1420,180,1
16120,2600,360,1
3833,1100,360,1
7383,1870,360,0
2987,880,360,0
9963,1800,360,1
5780,1920,360,1
42083,3500,180,0
5686,1550,360,1
5703,1280,360,1
7977,1720,360,1
12000,4960,360,1
5900,1730,360,1
5398,1570,360,1
5182,1080,360,1
2900,710,360,1
4106,400,180,1
8312,2530,360,1
7583,1870,360,1
4583,1330,360,0
